"VehicleID","StyleID","FranchiseID","StockNumber","VIN","NewUsed","StockDate","CreateDate","UpdateDate","vYear","vMake","vModel","vTrim","vTrimExtended","vType","vDoors","vMileage","vInternetPrice","BaseListPrice","vExteriorColor","vInteriorColor","vEngine","vDisplacement","vTransmission","SID","Updated","FranchiseSource","Photo_URL","vDescription"
494168,"100783095","0","G009","1A8HW58297F511419","N",2006-09-06 00:00:00,2006-09-06 00:00:00,2007-12-17 13:51:42,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","41",38127,"43085","MARINE BLEU","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3131433,"100783094","0","9212","1A8HW58P37F557596","U",2007-12-16 00:00:00,2007-12-16 00:00:00,2007-12-17 13:51:51,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","14347",25933,"25995","BLUE","Not Given","8","4.7L V8  SFI SOHC 16V","U","451280",False,"RamDMSi","","FULL SIZE UTILITY VEHICLE,OPTIONAL:U,4X4,4.7L V8  SFI SOHC 16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3111979,"100178445","0","5.00407","1B3AL36T93N584714","U",2007-12-14 00:00:00,2007-12-14 00:00:00,2007-12-17 13:52:25,"2003","DODGE","STRATUS","SE","SEDAN 4 DOOR","MEDIUM LEVEL MIDSIZE CAR","4","74849",9855,"9895","GOLD","Not Given","6","2.7L V6  FI       24V","A","451280",False,"RamDMSi","","MEDIUM LEVEL MIDSIZE CAR,AUTO TRANS,OPTIONAL:U,FWD,2.7L V6  FI       24V,6CYL,O,AIR COND,POW STEERING,POW WINDOWS,"
2939630,"13745","0","9176","1B3ES46C4YD652702","U",2007-11-21 00:00:00,2007-11-21 00:00:00,2007-12-17 13:51:49,"2000","DODGE","NEON","ES","SEDAN 4 DOOR","BASIC ECONOMY CAR","4","49152",6295,"6295","SILVER","Not Given","4","2.0L L4  SFI SOHC 16V","M","451280",True,"RamDMSi","","BASIC ECONOMY CAR,MANUAL TRANS,OPTIONAL:A,FWD,2.0L L4  SFI SOHC 16V,4CYL,N,POW STEERING,"
2576368,"100454732","0","5.00288","1B3ES56C45D153965","U",2007-10-04 00:00:00,2007-10-04 00:00:00,2007-12-17 13:52:18,"2005","DODGE","NEON","SXT","SEDAN 4 DOOR","BASIC ECONOMY CAR","4","37453",10955,"12995","SILVER","Not Given","4","2.0L L4  SFI SOHC 16V","M","451280",True,"RamDMSi","http://vehimages.carpod.net/images/1B3ES56C45D153965_1.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_2.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_3.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_4.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_5.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_6.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_7.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_8.jpg||http://vehimages.carpod.net/images/1B3ES56C45D153965_9.jpg","BASIC ECONOMY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4  SFI SOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2976485,"100178377","0","9186","1B3ES56C53D261217","U",2007-11-28 00:00:00,2007-11-28 00:00:00,2007-12-17 13:51:50,"2003","DODGE","NEON","SXT","SEDAN 4 DOOR","BASIC ECONOMY CAR","4","39455",8995,"8995","BLACK","Not Given","4","2.0L L4  SFI SOHC 16V","M","451280",True,"RamDMSi","","BASIC ECONOMY CAR,MANUAL TRANS,OPTIONAL:A,FWD,2.0L L4  SFI SOHC 16V,4CYL,N,AIR COND,POW STEERING,POW WINDOWS,"
1623676,"100454732","0","100436","1B3ES56C55D174114","U",2007-04-29 00:00:00,2007-04-29 00:00:00,2007-12-17 13:52:36,"2005","DODGE","NEON","SXT","SEDAN 4 DOOR","BASIC ECONOMY CAR","4","13784",10909,"99955","WHITE","Not Given","4","2.0L L4  SFI SOHC 16V","M","451280",True,"RamDMSi","","BASIC ECONOMY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4  SFI SOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2703106,"100685354","0","7.100555","1B3HB28B47D511598","U",2007-10-19 00:00:00,2007-10-19 00:00:00,2007-12-17 13:52:37,"2007","DODGE","CALIBER","SE","SEDAN 4 DOOR","BASIC SPORTY CAR","4","19049",13999,"14999","WHITE","Not Given","4","2.0L L4      DOHC 16V","M","451280",False,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4      DOHC 16V,4CYL,O,AIR COND,POW STEERING,"
2814508,"100686347","0","G1393","1B3HB28BX7D282683","N",2007-11-04 00:00:00,2007-11-04 00:00:00,2007-12-17 13:51:38,"2007","DODGE","CALIBER","SE","SEDAN 4 DOOR","BASIC SPORTY CAR","4","3",17110,"17110","SUNBURST ORANGE","Not Given","4","2.0L L4      DOHC 16V","M","451280",True,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4      DOHC 16V,4CYL,N,AIR COND,POW STEERING,"
2986180,"100685354","0","4066","1B3HB48B07D528135","U",2007-11-29 00:00:00,2007-11-29 00:00:00,2007-12-17 13:51:40,"2007","DODGE","CALIBER","SXT","SEDAN 4 DOOR","BASIC SPORTY CAR","4","38247",13922,"13995","GRAY","Not Given","4","2.0L L4      DOHC 16V","M","451280",False,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4      DOHC 16V,4CYL,O,AIR COND,POW STEERING,POW WINDOWS,"
2703107,"100685354","0","7.100556","1B3HB48B17D540472","U",2007-10-19 00:00:00,2007-10-19 00:00:00,2007-12-17 13:52:37,"2007","DODGE","CALIBER","SXT","SEDAN 4 DOOR","BASIC SPORTY CAR","4","13899",14999,"15999","WHITE","Not Given","4","2.0L L4      DOHC 16V","M","451280",False,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4      DOHC 16V,4CYL,O,AIR COND,POW STEERING,POW WINDOWS,"
2907223,"100792476","0","G1395","1B3HB48B47D415157","N",2007-11-16 00:00:00,2007-11-16 00:00:00,2007-12-17 13:51:39,"2007","DODGE","CALIBER","SXT","SEDAN 4 DOOR","BASIC SPORTY CAR","4","12",19330,"19330","BLACK","Not Given","4","2.0L L4      DOHC 16V","M","451280",True,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4      DOHC 16V,4CYL,N,AIR COND,POW STEERING,POW WINDOWS,"
3091581,"0","0","H1087","1B3HB48B78D557357","N",2007-12-11 00:00:00,2007-12-11 00:00:00,2007-12-17 13:51:41,"2008","DODGE","CALIBER","SXT","SEDAN 4 DOOR","BASIC SPORTY CAR","4","26",0,"20345","WHITE","Not Given","4","2.0L L4      DOHC 16V","M","451280",False,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.0L L4      DOHC 16V,4CYL,O,AIR COND,POW STEERING,POW WINDOWS,"
2965790,"0","0","H1073","1B3HB48C08D600347","N",2007-11-27 00:00:00,2007-11-27 00:00:00,2007-12-17 13:51:40,"2008","DODGE","CALIBER","SXT","SEDAN 4 DOOR","BASIC SPORTY CAR","4","3",20485,"20485","SURF BLUE","Not Given","4","1.8L L4      DOHC 16V","M","451280",True,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,1.8L L4      DOHC 16V,4CYL,N,AIR COND,POW STEERING,POW WINDOWS,"
2022275,"100792476","0","G1324","1B3HB78K87D408813","N",2007-07-10 00:00:00,2007-07-10 00:00:00,2007-12-17 13:51:24,"2007","DODGE","CALIBER","R/T FWD","SEDAN 4 DOOR","BASIC SPORTY CAR","4","46",23305,"23305","LIGHT KHAKI","Not Given","4","2.4L L4      DOHC 16V","M","451280",False,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.4L L4      DOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2054897,"100792476","0","G1340","1B3HB78KX7D408814","N",2007-07-14 00:00:00,2007-07-14 00:00:00,2007-12-17 13:51:24,"2007","DODGE","CALIBER","R/T FWD","SEDAN 4 DOOR","BASIC SPORTY CAR","4","17",23305,"23305","BLACK","Not Given","4","2.4L L4      DOHC 16V","M","451280",False,"RamDMSi","","BASIC SPORTY CAR,MANUAL TRANS,OPTIONAL:U,FWD,2.4L L4      DOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2907218,"100685354","0","4050","1B3HE78K37D288944","U",2007-11-16 00:00:00,2007-11-16 00:00:00,2007-12-17 13:51:39,"2007","DODGE","CALIBER","R/T AWD","SEDAN 4 DOOR","BASIC SPORTY CAR","4","16602",17422,"17495","SILVER","Not Given","4","2.4L L4      DOHC 16V","U","451280",False,"RamDMSi","","BASIC SPORTY CAR,OPTIONAL:U,AWD,2.4L L4      DOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
1508703,"100685354","0","103040","1B3HE78KX7D516387","U",2007-04-08 00:00:00,2007-04-08 00:00:00,2007-12-17 13:51:14,"2007","DODGE","CALIBER","R/T AWD","SEDAN 4 DOOR","BASIC SPORTY CAR","4","12378",17995,"23995","SILVER","Not Given","4","2.4L L4      DOHC 16V","A","451280",True,"RamDMSi","http://vehimages.carpod.net/images/1B3HE78KX7D516387_1.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_2.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_3.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_4.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_5.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_6.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_7.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_8.jpg||http://vehimages.carpod.net/images/1B3HE78KX7D516387_9.jpg","BASIC SPORTY CAR,AUTO TRANS,OPTIONAL:U,AWD,2.4L L4      DOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
1799996,"0","0","H1007","1B3LC46K28N628551","N",2007-06-01 00:00:00,2007-06-01 00:00:00,2007-12-17 13:51:27,"2008","DODGE","AVENGER","SE","SEDAN 4 DOOR","BASIC SPORTY CAR","4","21",18481,"19560","WHITE","Not Given","4","2.4L L4  MPI DOHC 16V","A","451280",True,"RamDMSi","","BASIC SPORTY CAR,AUTO TRANS,OPTIONAL:U,FWD,2.4L L4  MPI DOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2986177,"0","0","4065","1B3LC46KX8N660163","U",2007-11-29 00:00:00,2007-11-29 00:00:00,2007-12-17 13:51:40,"2008","DODGE","AVENGER","SE","SEDAN 4 DOOR","BASIC SPORTY CAR","4","5284",16922,"16995","SILVER","Not Given","4","2.4L L4  MPI DOHC 16V","A","451280",False,"RamDMSi","","BASIC SPORTY CAR,AUTO TRANS,OPTIONAL:U,FWD,2.4L L4  MPI DOHC 16V,4CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2141366,"0","0","H1010","1B3LC56R28N686226","N",2007-07-29 00:00:00,2007-07-29 00:00:00,2007-12-17 13:51:25,"2008","DODGE","AVENGER","SXT","SEDAN 4 DOOR","MEDIUM LEVEL MIDSIZE CAR","4","4",22645,"22645","INFERNO RED","Not Given","6","2.7L V6  MPI DOHC 24V","A","451280",True,"RamDMSi","","MEDIUM LEVEL MIDSIZE CAR,AUTO TRANS,OPTIONAL:U,FWD,2.7L V6  MPI DOHC 24V,6CYL,N,AIR COND,POW STEERING,POW WINDOWS,"
1904207,"0","0","H1006","1B3LC56R78N597316","N",2007-06-19 00:00:00,2007-06-19 00:00:00,2007-12-17 13:51:27,"2008","DODGE","AVENGER","SXT","SEDAN 4 DOOR","MEDIUM LEVEL MIDSIZE CAR","4","16",21226,"22565","STONE WHITE","Not Given","6","2.7L V6  MPI DOHC 24V","A","451280",True,"RamDMSi","","MEDIUM LEVEL MIDSIZE CAR,AUTO TRANS,OPTIONAL:U,FWD,2.7L V6  MPI DOHC 24V,6CYL,O,AIR COND,POW STEERING,POW WINDOWS,"
2321104,"0","0","H1020","1B3LC56R98N108365","N",2007-08-26 00:00:00,2007-08-26 00:00:00,2007-12-17 13:51:23,"2008","DODGE","AVENGER","SXT","SEDAN 4 DOOR","MEDIUM LEVEL MIDSIZE CAR","4","3",23710,"23710","SILVER","Not Given","6","2.7L V6  MPI DOHC 24V","A","451280",True,"RamDMSi","","MEDIUM LEVEL MIDSIZE CAR,AUTO TRANS,OPTIONAL:U,FWD,2.7L V6  MPI DOHC 24V,6CYL,N,AIR COND,POW STEERING,POW WINDOWS,"
3131431,"0","0","4077","1B3LC56RX8N593065","U",2007-12-16 00:00:00,2007-12-16 00:00:00,2007-12-17 13:51:42,"2008","DODGE","AVENGER","SXT","SEDAN 4 DOOR","MEDIUM LEVEL MIDSIZE CAR","4","12256",18922,"18995","SILVER","Not Given","6","2.7L V6  MPI DOHC 24V","A","451280",False,"RamDMSi","","MEDIUM LEVEL MIDSIZE CAR,AUTO TRANS,OPTIONAL:U,FWD,2.7L V6  MPI DOHC 24V,6CYL,O,AIR COND,POW STEERING,POW WINDOWS,"
2208463,"0","0","H1012","1B3LC56RX8N693215","N",2007-08-08 00:00:00,2007-08-08 00:00:00,2007-12-17 13:51:23,"2008","DODGE","AVENGER","SXT","SEDAN 4 DOOR","MEDIUM LEVEL MIDSIZE CAR","4","4",25275,"25275","BRILLIANT BLACK","Not Given","6","2.7L V6  MPI DOHC 24V","A","451280",True,"RamDMSi","","MEDIUM LEVEL MIDSIZE CAR,AUTO TRANS,OPTIONAL:U,FWD,2.7L V6  MPI DOHC 24V,6CYL,N,AIR COND,POW STEERING,POW WINDOWS,"
2997063,"0","0","H1076","1B3LC76M08N654231","N",2007-11-30 00:00:00,2007-11-30 00:00:00,2007-12-17 13:51:40,"2008","DODGE","AVENGER","R/T","SEDAN 4 DOOR","BASIC SPORTY CAR","4","27",28090,"28090","BLACK","Not Given","6","3.5L V6  MPI SOHC 24V","A","451280",True,"RamDMSi","","BASIC SPORTY CAR,AUTO TRANS,OPTIONAL:U,FWD,3.5L V6  MPI SOHC 24V,6CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3067734,"8345","0","W3248","1B3XA4631PF652669","U",2007-12-07 00:00:00,2007-12-07 00:00:00,2007-12-17 13:52:06,"1993","DODGE","SPIRIT"," ","SEDAN 4 DOOR","BASE LEVEL MIDSIZE CAR","4","0",0,"11941","BLUE","Not Given","6","3.0L V6  SFI SOHC 12V","M","451280",False,"RamDMSi","","BASE LEVEL MIDSIZE CAR,MANUAL TRANS,OPTIONAL:A,FWD,3.0L V6  SFI SOHC 12V,6CYL,O,POW STEERING,"
2997072,"100000787","0","7.100603","1B4HS28N11F557696","U",2007-11-30 00:00:00,2007-11-30 00:00:00,2007-12-17 13:52:39,"2001","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","97748",10990,"10990","MAROON","Not Given","8","4.7L V8  SFI OHV","A","451280",True,"RamDMSi","","SPORT UTILITY VEHICLE,AUTO TRANS,OPTIONAL:A,4X4,4.7L V8  SFI OHV,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2548768,"100000787","0","5.00263","1B4HS28N51F522482","U",2007-09-29 00:00:00,2007-09-29 00:00:00,2007-12-17 13:52:17,"2001","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","80723",11955,"12995","WHITE","Not Given","8","4.7L V8  SFI OHV","A","451280",True,"RamDMSi","http://vehimages.carpod.net/images/1B4HS28N51F522482_1.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_2.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_3.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_4.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_5.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_6.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_7.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_8.jpg||http://vehimages.carpod.net/images/1B4HS28N51F522482_9.jpg","SPORT UTILITY VEHICLE,AUTO TRANS,OPTIONAL:A,4X4,4.7L V8  SFI OHV,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2606148,"2522","0","9135","1B4HS28N8YF106310","U",2007-10-09 00:00:00,2007-10-09 00:00:00,2007-12-17 13:51:46,"2000","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","162310",7995,"7995","RED","Not Given","8","4.7L V8  MPI","A","451280",True,"RamDMSi","http://vehimages.carpod.net/images/1B4HS28N8YF106310_1.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_2.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_3.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_4.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_5.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_6.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_7.jpg||http://vehimages.carpod.net/images/1B4HS28N8YF106310_8.jpg","SPORT UTILITY VEHICLE,AUTO TRANS,OPTIONAL:A,4X4,4.7L V8  MPI,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3056185,"","0","5.00395","1B4HS28YXXF569543","U",2007-12-06 00:00:00,2007-12-06 00:00:00,2007-12-17 13:52:24,"1999","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","110043",9955,"10995","WHITE","Not Given","8","5.2L V8  SFI OHV  16V","M","451280",False,"RamDMSi","","SPORT UTILITY VEHICLE,MANUAL TRANS,OPTIONAL:A,4X4,5.2L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3006028,"7395","0","1.03453","1B4HS28Z1XF577247","U",2007-12-01 00:00:00,2007-12-01 00:00:00,2007-12-17 13:51:21,"1999","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","95281",9995,"9995","RED","Not Given","8","5.9L V8  SFI OHV  16V","M","451280",True,"RamDMSi","","SPORT UTILITY VEHICLE,MANUAL TRANS,OPTIONAL:A,4X4,5.9L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2329714,"7395","0","3982","1B4HS28Z7XF627794","U",2007-08-28 00:00:00,2007-08-28 00:00:00,2007-12-17 13:51:24,"1999","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","95910",6149,"10995","WHITE","Not Given","8","5.9L V8  SFI OHV  16V","M","451280",True,"RamDMSi","http://vehimages.carpod.net/images/1B4HS28Z7XF627794_1.jpg||http://vehimages.carpod.net/images/1B4HS28Z7XF627794_2.jpg||http://vehimages.carpod.net/images/1B4HS28Z7XF627794_3.jpg||http://vehimages.carpod.net/images/1B4HS28Z7XF627794_4.jpg","SPORT UTILITY VEHICLE,MANUAL TRANS,OPTIONAL:A,4X4,5.9L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2868282,"7395","0","5.00352","1B4HS28ZXXF644475","U",2007-11-11 00:00:00,2007-11-11 00:00:00,2007-12-17 13:52:21,"1999","DODGE","DURANGO"," ","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","96174",8955,"9995","BLCK","Not Given","8","5.9L V8  SFI OHV  16V","M","451280",False,"RamDMSi","","SPORT UTILITY VEHICLE,MANUAL TRANS,OPTIONAL:A,4X4,5.9L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2703103,"100069353","0","5.00324","1B4HS48N72F161978","U",2007-10-19 00:00:00,2007-10-19 00:00:00,2007-12-17 13:52:19,"2002","DODGE","DURANGO","SLT","WAGON 4 DOOR","SPORT UTILITY VEHICLE","4","89656",11955,"12995","WHITE","Not Given","8","4.7L V8  SFI OHV","A","451280",False,"RamDMSi","","SPORT UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,4.7L V8  SFI OHV,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
