Dealer	StockNo	VIN	NewUsed	Year	Make	Model	Style	Engine	Transmission	ExtColor	IntColor	Mileage	Price	Accessories	Comments	Images
Cars Unlimited Inc	3897	1C3AN65L75X057665	Used	2005	Chrysler	Crossfire	Limited 2dr Roadster	3.2L 6-Cylinder	5-Speed Automatic	Aero Blue Pearlcoat	Dark Slate Gray	11203	21990	5-Speed Automatic Transmission, Air Conditioning, Airbags Front Side-mounted, AM/FM CD Audio System, AM/FM/CD Audio System, Anti-theft Alarm System, Bucket Front Seats, Convertible Roof, Cruise Control, Driver Seat 8-way Power, Fog Lights, Front Center Console with Storage, Intermittent Wipers, Leather Upholstery, Passenger Seat 4-way Power, Passenger Seat Heated, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Premium Infinity Audio System, Rear Defogger, Rear Differential - Limited Slip, Rear Spoiler, Stability Control, Steering Wheel Leather Wrapped, Steering Wheel Telescopic, Tachometer, Traction Control, Universal Remote Transmitter	SAVE THOUSANDS!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0406_1.jpg, http://66.219.133.230/cui/cui-0406_2.jpg, http://66.219.133.230/cui/cui-0406_3.jpg, http://66.219.133.230/cui/cui-0406_4.jpg, http://66.219.133.230/cui/cui-0406_5.jpg, http://66.219.133.230/cui/cui-0406_6.jpg, http://66.219.133.230/cui/cui-0406_7.jpg, http://66.219.133.230/cui/cui-0406_8.jpg, http://66.219.133.230/cui/cui-0406_9.jpg
Cars Unlimited Inc	3899	JM1BK32FX51260672	Used	2005	Mazda	MAZDA3	i 4dr Sedan	2L 4-Cylinder	4-Speed Automatic	Strato Blue Mica	Black	30015	12490	4-Speed Automatic Transmission, 4-Wheel ABS, Air Conditioning, Alloy Wheels, AM/FM CD Audio System, Bench Rear Seat, Bucket Front Seats, Cloth Upholstery, Cruise Control, Fog Lights, Front Center Console with Storage, Front Side Airbags, Intermittent Wipers, Keyless Entry System, Power Door Locks, Power Exterior Mirrors, Power Steering, Power Windows, Rear Defogger, Rear Folding Seats, Remote Trunk Release, Steering Wheel Audio Ctrls, Steering Wheel Tilt and Telescopic, Tachometer	Great Gas Mileage!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0410_1.jpg, http://66.219.133.230/cui/cui-0410_2.jpg, http://66.219.133.230/cui/cui-0410_3.jpg, http://66.219.133.230/cui/cui-0410_4.jpg, http://66.219.133.230/cui/cui-0410_5.jpg, http://66.219.133.230/cui/cui-0410_6.jpg, http://66.219.133.230/cui/cui-0410_7.jpg
Cars Unlimited Inc	3898	2G1WH52KX59149942	Used	2005	Chevrolet	Impala	LS 4dr Sedan	3.8L 6-Cylinder	4-Speed Automatic	Medium Gray Metallic	Medium Gray	30479	13990	Air Conditioning, AM/FM Cassette Audio System, Bucket Front Seats, Cruise Control, Daytime Running Lights, Driver Seat 8-way Power, Fog Lights, Front Center Console with Storage, Headlights Dusk Sensing, Intermittent Wipers, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Rear Defogger, Rear Folding Seats, Rear Spoiler, Remote Trunk Release, Steering Wheel Leather Wrapped, Steering Wheel Tilt Adjustable, Tachometer, Traction Control	Featured Vehicle  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0411_1.jpg, http://66.219.133.230/cui/cui-0411_2.jpg, http://66.219.133.230/cui/cui-0411_3.jpg, http://66.219.133.230/cui/cui-0411_4.jpg, http://66.219.133.230/cui/cui-0411_5.jpg, http://66.219.133.230/cui/cui-0411_6.jpg, http://66.219.133.230/cui/cui-0411_7.jpg, http://66.219.133.230/cui/cui-0411_8.jpg, http://66.219.133.230/cui/cui-0411_9.jpg
Cars Unlimited Inc	3908	1G1ZU64895F152354	Used	2005	Chevrolet	Malibu Maxx	LT 4dr Hatchback	3.5L 6-Cylinder	4-Speed Automatic	Dark Blue Metallic	Gray	41461	13990	AC Climate Control, Adjustable Pedals, Airbags Front Side-mounted, AM/FM CD Audio System, Anti-theft Alarm System, Bench Rear Seat, Bucket Front Seats, Cruise Control, Daytime Running Lights, Driver Seat 8-way Power, Fog Lights, Front Center Console with Storage, Headlights Dusk Sensing, Intermittent Wipers, OnStar, Passenger Seat Heated, Power Door Locks, Power Mirrors, Power Moonroof, Power Steering, Power Windows, Privacy Glass, Rear Audio, Rear Defogger, Rear Folding Seats, Rear Spoiler, Remote Trunk Release, Satellite Radio System, Shift Knob Leather, Steering Wheel Audio Ctrls, Steering Wheel Leather Wrapped, Steering Wheel Tilt and Telescopic, Tachometer, Traction Control	Leather Interior!  	http://66.219.133.230/cui/cui-0424_1.jpg, http://66.219.133.230/cui/cui-0424_2.jpg, http://66.219.133.230/cui/cui-0424_3.jpg, http://66.219.133.230/cui/cui-0424_4.jpg, http://66.219.133.230/cui/cui-0424_5.jpg, http://66.219.133.230/cui/cui-0424_6.jpg, http://66.219.133.230/cui/cui-0424_7.jpg, http://66.219.133.230/cui/cui-0424_8.jpg
Cars Unlimited Inc	2832	1FTZR45E94PA16042	Used	2004	Ford	Ranger	4dr Supercab 4.0L Edge 4WD		4-Speed Automatic	RED	RED/CHARCOAL	15891	15990		Low Miles!  	http://66.219.133.230/cui/cui-0426_1.jpg, http://66.219.133.230/cui/cui-0426_2.jpg, http://66.219.133.230/cui/cui-0426_3.jpg, http://66.219.133.230/cui/cui-0426_4.jpg, http://66.219.133.230/cui/cui-0426_5.jpg, http://66.219.133.230/cui/cui-0426_6.jpg, http://66.219.133.230/cui/cui-0426_7.jpg, http://66.219.133.230/cui/cui-0426_8.jpg
Cars Unlimited Inc	3903A	1C3EL46X53N511532	Used	2003	Chrysler	Sebring	LX 4dr Sedan	2.4L 4-Cylinder	4-Speed Automatic	Bright Silver Metallic Clearcoat	Dark Slate Gray	93025	5990	Air Conditioning, AM/FM Cassette Audio System, Bench Rear Seat, Cloth Upholstery, Cruise Control, Front Center Console with Storage, Intermittent Wipers, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Privacy Glass, Rear Defogger, Remote Trunk Release, Steering Wheel Tilt Adjustable, Tachometer	RUNS GREAT!  	http://66.219.133.230/cui/cui-0427_1.jpg, http://66.219.133.230/cui/cui-0427_2.jpg, http://66.219.133.230/cui/cui-0427_3.jpg, http://66.219.133.230/cui/cui-0427_4.jpg, http://66.219.133.230/cui/cui-0427_5.jpg, http://66.219.133.230/cui/cui-0427_6.jpg, http://66.219.133.230/cui/cui-0427_7.jpg
Cars Unlimited Inc	2678A	KNDUP131426216103	Used	2002	Kia	Sedona	4dr Wagon EX		4-Speed Automatic	BLUE	GRAY LEATHER	62929	8990		Moonroof!  	http://66.219.133.230/cui/cui-0428_1.jpg, http://66.219.133.230/cui/cui-0428_2.jpg, http://66.219.133.230/cui/cui-0428_3.jpg, http://66.219.133.230/cui/cui-0428_4.jpg, http://66.219.133.230/cui/cui-0428_5.jpg
Cars Unlimited Inc	2729A1NL	1J4FJ68S8PL503732	Used	1993	Jeep	Cherokee	4 Dr Sport 4WD SUV	4L 6-Cylinder	4-Speed Automatic	Glamour Turquoise Metallic	GRAY	153002	1790	Air Conditioning, Alloy Wheels, AM/FM Audio System, Cloth Upholstery, Power Mirrors, Power Steering, Privacy Glass, Tilt Steering Wheel	4 WHEEL DRIVE!  	http://66.219.133.230/cui/cui-0432_1.jpg, http://66.219.133.230/cui/cui-0432_2.jpg
Cars Unlimited Inc	3917	1FTPX14575FB72195	Used	2005	Ford	F-150	Supercab 133" XLT 4WD		Automatic	DK BLUE	GRAPHITE	22235	20990		Low Miles!  	http://66.219.133.230/cui/cui-0433_1.jpg, http://66.219.133.230/cui/cui-0433_2.jpg, http://66.219.133.230/cui/cui-0433_3.jpg, http://66.219.133.230/cui/cui-0433_4.jpg, http://66.219.133.230/cui/cui-0433_5.jpg, http://66.219.133.230/cui/cui-0433_6.jpg, http://66.219.133.230/cui/cui-0433_7.jpg
Cars Unlimited Inc	3916A	1FTZR15X5XPB51295	Used	1999	Ford	Ranger	2 Dr XLT 4WD Extended Cab Stepside SB	4L 6-Cylinder	4-Speed Automatic	GREEN MET	GRAPHITE	122540	6990	4-Speed Automatic Transmission, 4.0L V6 OHV 12V FI Engine, Air Conditioning, AM/FM Cassette Audio System, Automatic Locking Hubs, Bed Liner, Cloth Upholstery, Cruise Control, Fog Lights, Hinged Fourth Door, Intermittent Wipers, Keyless Entry System, Power Door Locks, Power Exterior Mirrors, Power Steering, Power Windows, Privacy Glass, Rear Jump Seats, Split-bench Front Seats, Tachometer, Tilt Steering Wheel, Trailer Hitch	4 WHEEL DRIVE  	http://66.219.133.230/cui/cui-0434_1.jpg, http://66.219.133.230/cui/cui-0434_2.jpg, http://66.219.133.230/cui/cui-0434_3.jpg, http://66.219.133.230/cui/cui-0434_4.jpg, http://66.219.133.230/cui/cui-0434_5.jpg, http://66.219.133.230/cui/cui-0434_6.jpg, http://66.219.133.230/cui/cui-0434_7.jpg
Cars Unlimited Inc	3904A	1FTRW08L12KB60223	Used	2002	Ford	F150 Pickup 4WD	SuperCrew Lariat	V8 5.4	Automatic	RED		70956	16990	AM/FM Stereo, CD Changer, Air Conditioning, Center Arm Rest, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Vanity Mirrors, Bed Liner, Tow Package, Power Door Locks, Power Windows, Inside Hood Release, Power Sunroof, Privacy Glass, Sunroof Cover, Tinted Glass, Dual Air Bags, Leather Seats, Power Seats, Alloy Wheels	Moonroof!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0435_1.jpg, http://66.219.133.230/cui/cui-0435_2.jpg, http://66.219.133.230/cui/cui-0435_3.jpg, http://66.219.133.230/cui/cui-0435_4.jpg, http://66.219.133.230/cui/cui-0435_5.jpg, http://66.219.133.230/cui/cui-0435_6.jpg, http://66.219.133.230/cui/cui-0435_7.jpg, http://66.219.133.230/cui/cui-0435_8.jpg, http://66.219.133.230/cui/cui-0435_9.jpg
Cars Unlimited Inc	3921	1D7HE42N15S278833	Used	2005	Dodge	Dakota	4dr Club Cab SLT Rwd SB	4.7L 8-Cylinder	4-Speed Automatic	Black Clearcoat	Medium Slate Gray	13896	14990	4-Speed Automatic Transmission, 4.7L V8 SOHC 16V FI Engine, Air Conditioning, AM/FM CD Audio System, Bed Liner, Chrome Wheels, Cloth Upholstery, Cruise Control, Fog Lights, Front Center Console with Storage, Intermittent Wipers, Overhead Console, Power Door Locks, Power Driver Seat, Power Mirrors, Power Steering, Power Windows, Rear Folding Seats, Split-bench Front Seats, Steering Wheel Tilt Adjustable, Tachometer	Low Miles!  	http://66.219.133.230/cui/cui-0436_1.jpg, http://66.219.133.230/cui/cui-0436_2.jpg, http://66.219.133.230/cui/cui-0436_3.jpg, http://66.219.133.230/cui/cui-0436_4.jpg, http://66.219.133.230/cui/cui-0436_5.jpg, http://66.219.133.230/cui/cui-0436_6.jpg, http://66.219.133.230/cui/cui-0436_7.jpg, http://66.219.133.230/cui/cui-0436_8.jpg
Cars Unlimited Inc	3922	1GNDT13SX32362476	Used	2003	Chevrolet	TrailBlazer	4dr Wagon 4WD LS		4-Speed Automatic	GREEN		53125	12990		X-TRA CLEAN  	http://66.219.133.230/cui/cui-0440_1.jpg, http://66.219.133.230/cui/cui-0440_2.jpg, http://66.219.133.230/cui/cui-0440_3.jpg, http://66.219.133.230/cui/cui-0440_4.jpg, http://66.219.133.230/cui/cui-0440_5.jpg, http://66.219.133.230/cui/cui-0440_6.jpg
Cars Unlimited Inc	3918	1FMDU74KX5UB79413	Used	2005	Ford	Explorer	Eddie Bauer 4WD 4dr SUV	4L 6-Cylinder	4-Speed Automatic	Black Clearcoat	Medium Parchment	38735	18490	AC Climate Control, AM/FM In-dash 6-CD Player, Automatic Locking Hubs, Bucket Front Seats, Center and Rear Bench Seat, Cruise Control, Driver Seat 8-way Power, DVD Entertainment System, Fog Lights, Front Center Console with Storage, Headlights Dusk Sensing, Intermittent Wipers, Leather Upholstery, Memory Driver Seat, Overhead Console, Passenger Seat 4-way Power, Passenger Seat Heated, Power Door Locks, Power Mirrors, Power Moonroof, Power Steering, Power Windows, Privacy Glass, Rear Defogger, Rear Folding Seats, Rear Parking Sensors, Rearview Mirror Auto-dimming, Steering Wheel Audio Ctrls, Steering Wheel Leather Wrapped, Steering Wheel Tilt Adjustable, Tachometer	Leather Interior!  	http://66.219.133.230/cui/cui-0441_1.jpg, http://66.219.133.230/cui/cui-0441_2.jpg, http://66.219.133.230/cui/cui-0441_3.jpg, http://66.219.133.230/cui/cui-0441_4.jpg, http://66.219.133.230/cui/cui-0441_5.jpg, http://66.219.133.230/cui/cui-0441_6.jpg
